value,lots,source,keep
Assortiment 2016 du Domaine de la Romanée-Conti,1,idealwine,
Assortiment 2020 du Domaine de la Romanée-Conti,1,idealwine,
Assortiment Grands Crus,1,idealwine,
Beaune ,1,idealwine,
Bourgogne Côte d'Or,1,idealwine,
Bourgogne Côte d'or,1,idealwine,
Bouzeron ,1,idealwine,
Caisse Bois,1,idealwine,
Caisse Domaine de la Romanée Conti,1,idealwine,
Caisse Grands Crus,1,idealwine,
Caisse Grands crus Climats de Corton,1,idealwine,
Charmes-Chambertin ,1,idealwine,
Châteauneuf du Pape,1,other,
Clos de La Roche,1,idealwine,
Coffret 6 appellations,1,idealwine,
Cotes du Rhone,1,other,
Côtes-du-Rhône Visan,1,idealwine,
Haut Mèdoc,1,other,
Pomerol.,1,other,
Saint Emilion Grand Cru,1,other,
Saint-Estéphe,1,other,
Vieux Marc du Château Rayas,1,idealwine,
Vin de Pays de l'Ardèche,1,idealwine,
Vin de Table du Japon,1,idealwine,
