value,lots,source,keep
Pouilly-Fume,328,other,
Ruchottes-Chambertin,327,other,
Moulin-a-Vent,326,other,
Volnay-Santenots,324,other,
BOLGHERI Superiore Rosso D.O.C,323,other,
Puglia,320,other,
Clos Saint-Denis,318,other,
Condrieu,313,other,
Piedmont,312,other,
Chianti DOCG,311,other,
Latricieres-Chambertin,308,other,
Baw Baw Shire,306,other,
Marsannay,305,other,
Givry,302,other,
Bierzo,296,other,
Burgundy,294,other,
Southern Highlands,289,other,
Castilla Y Leon,288,other,
Montrachet,287,other,
Aloxe-Corton,286,other,
Speyside,286,other,
Cotes de Castillon,278,other,
Jumilla,278,other,
McLaren Vale-Coonawarra,276,other,
Southern Rhone,276,other,
Francia - Cognac,274,other,
Robe,271,other,
Salento IGP,268,other,
Amarone della Valpolicella DOCG,265,other,
Bellarine Peninsula,265,other,
Hunawihr,264,other,
Burgenland,263,other,
St-Aubin,262,other,
Anjou,261,other,
Pipers Brook,261,other,
Campania,259,other,
Pessac-Léognan,259,other,
Vin Mousseux,256,other,
Cowra,255,other,
Miscellaneous,252,other,
Rosso di Montalcino DOC,251,other,
Beaune-Greves,250,other,
Haut-Médoc,250,other,
North Canterbury,250,other,
Veneto IGT,248,other,
Turckheim,247,other,
Chevalier-Montrachet,245,other,
Cahors,244,other,
Barbera d'Asti DOCG,243,other,
Islay,242,other,
Germany,240,other,
Meursault-Genevrieres,237,other,
Pipers River,235,other,
Entre-deux-Mers,230,other,
Albany,227,other,
Cotes de Bordeaux,226,other,
Muscadet De Sevre-et Maine,225,other,
Nashik,225,other,
Gundagai,224,other,
Sierra de Gredos,223,other,
Wintzenheim,223,other,
Cotes de Bourg,222,other,
Blackwood Valley,220,other,
Manjimup,219,other,
Cote de Nuits-Villages,217,other,
Tokaji-Hegyalja,216,other,
Chablis A.C.,214,other,
Madeira,212,other,
Vougeot,212,other,
Ballarat,208,other,
Gisborne,205,other,
Nebbiolo d'Alba,201,other,
Cotes du Jura,199,other,
Terre Siciliane IGP,199,other,
Wallis,199,other,
Hermitage Blanc,197,other,
Abruzzo,196,other,
Aragon,196,other,
Rias Baixas,195,other,
Toscana ,192,other,
Brunello de Montalcino,191,other,
Monferrato,191,other,
Saint Aubin,190,other,
Alto Adige,189,other,
Sonoma Coast,188,other,
Fronsac,187,other,
 Italia - Barbaresco,186,other,
Riquewihr,184,other,
Rueda,184,other,
Sicilia DOC,184,other,
Bannockburn,182,other,
La Rioja,182,other,
Coteaux du Layon,181,other,
Santa Cruz Mountains,180,other,
Volnay-Champans,180,other,
grand bourgeois,180,other,
Barossa-Clare Valley,177,other,
Upper Goulburn,177,other,
Mercurey Rouge,176,other,
Montepulciano d'Abruzzo,176,other,
Mazy-Chambertin,175,other,
Melbourne,171,other,
Volnay-Taillepieds,170,other,
Alpine Valleys,168,other,
Waitaki Valley,167,other,
Criots-Batard-Montrachet,166,other,
Sicily,166,other,
Amarone della Valpolicella,165,other,
Willamette Valley,165,other,
Etna,164,other,
Valpolicella DOC,164,other,
Baroota,163,other,
Bordeaux Superieur,163,other,
Griotte-Chambertin,163,other,
Hunter-McLaren Vale,163,other,
Waadt,162,other,
