value,lots,source,keep
"Domaine Jacques-Frédéric Mugnier, Chambolle-Musigny",95,other,
Jean Dauvissat,95,other,
Domaine Leroy,94,other,
Jean-Michel Stephan,94,other,
Pierre Morey,94,other,
Angelo Gaja,93,other,
Billaud-Simon,91,other,
Bottled in 1994,91,other,
Fontaine-Gagnard,91,other,
Nicolas Potel,91,other,
Rossignol-Trapet,90,other,
Lamy-Caillat,89,other,
Méo-Camuzet Frère & Soeurs,89,other,
Romain Le Bars,89,other,
Antonin Guyon,88,other,
"Domaine Jean Grivot, Vosne-Romanée",88,other,
"Domaine Méo-Camuzet, Vosne-Romanée",88,other,
Felettig (Domaine),88,other,
Castagnier,87,other,
Château de Béru,87,other,
Marc Morey,87,other,
"Bibi Graetz, Fiesole",86,other,
Fläsch,86,other,
IGP Alpilles,86,other,
Produttori del Barbaresco,86,other,
Alain Voge,85,other,
Bruno Clair,85,other,
Champagne Taittinger,85,other,
"Louis Jadot, Beaune",85,other,
Bottled in 1999,84,other,
Chanterêves,84,other,
"Domaine G. Roumier, Chambolle-Musigny",84,other,
"Giacosa Fratelli, Neive",84,other,
Thomas Morey,84,other,
Ch. Margaux,83,other,
Romano Dal Forno,83,other,
"Domaine François Gaunoux, Meursault",82,other,
Verget,82,other,
"Domaine Anne Gros & Jean-Paul Tollot, Cazelles",81,other,
Azienda Le Macchiole,80,other,
Chandon de Briailles,80,other,
Claude Dugat,80,other,
"Domaine Patrick Miolane, Saint-Aubin",80,other,
Domaine Paul Avril,80,other,
"Domaine de Pegau, Châteauneuf-du-Pape",80,other,
Laurent Tribut,80,other,
"Ballot Millot, Meursault",79,other,
René Rostaing,79,other,
Albert Bichot,78,other,
Bottled in 2005,78,other,
"Domaine du Pegau, Châteauneuf-du-Pape",78,other,
"E. Guigal, Ampuis",78,other,
Etienne Sauzet,78,other,
Jean-Marc Pillot,78,other,
"Pauillac, 2nd wine Ch. Mouton Rothschild",78,other,
Prieuré Roch,78,other,
Bodegas Remirez de Ganuza,77,other,
Domaine de Chassorney – Aurélien Verdet,77,other,
Drouhin-Laroze,77,other,
Sylvain Cathiard & Fils,77,other,
Alvaro Palacio,76,other,
Denis Bachelet,76,other,
Maison Camille Thiriet,76,other,
Domaine Pierre Gélin,75,other,
Maillard et Fils,75,other,
Maison Pinot Noar (Arnaud Lopez),75,other,
Pierre Damoy,75,other,
Taylor’s,75,other,
Domaine Gerin,74,other,
Font de Courtedune,74,other,
Robert Michel,74,other,
Château Rayas,73,other,
